Agency,City,State,NTD ID,Organization Type,Reporter Type,Report Year,UACE Code,UZA Name,Primary UZA Population,Agency VOMS,Mode,Mode Name,TOS,Mode VOMS,Fare Revenues per Unlinked Passenger Trip,Fare Revenues per Unlinked Passenger Trip Questionable,Fare Revenues per Total Operating Expense (Recovery Ratio),Fare Revenues per Total Operating Expense (Recovery Ratio) Questionable,Cost per Hour,Cost per Hour Questionable,Passengers per Vehicle Revenue Hour,Passengers per Hour Questionable,Cost per Passenger,Cost per Passenger Questionable,Cost per Passenger Mile,Cost per Passenger Mile Questionable,Fare Revenues Earned,Fare Revenues Earned Questionable,Total Operating Expenses,Total Operating Expenses Questionable,Unlinked Passenger Trips,Unlinked Passenger Trips Questionable,Vehicle Revenue Hours,Vehicle Revenue Hours Questionable,Passenger Miles,Passenger Miles Questionable,Vehicle Revenue Miles,Vehicle Revenue Miles Questionable
"City of Avalon, dba: Avalon Transit",Avalon,CA,90249,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2023,6,California Non-UZA,4357850,4,DR,Demand Response,PT,2,2.41,,0.03,,98.17,,1,,72.88,,0.00,,18538,,560969,,7697,,5714,,0,,14471,
Municipality of Lares,Lares,PR,40197,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2023,72,Puerto Rico Non-UZA,463143,4,DR,Demand Response,DO,2,0.00,,0.00,,11.68,,0,,39.00,,0.00,,0,,24651,,632,,2110,,0,,23932,
Dunn County Transit Commission,,WI,50226,Independent Public Agency or Authority of Transit Service,Rural Reporter,2023,,,,4,DR,Demand Response,DO,2,5.37,,0.18,,69.96,,2,,30.03,,0.00,,37295,,208472,,6943,,2980,,0,,43534,
"City of Escalon, dba: eTrans",Escalon,CA,91078,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2023,58006,"Modesto, CA",357301,4,DR,Demand Response,PT,2,0.13,,0.00,,822.43,,6,,149.53,,0.00,,65,,74019,,495,,90,,0,,1244,
"Archuleta County, dba: Mountain Express Transit",Pagosa Springs,CO,80280,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2023,,,,4,MB,Bus,DO,2,0.41,,0.01,,76.53,,3,,30.56,,0.00,,3523,,264785,,8663,,3460,,0,,58027,
Municipality of Lares,Lares,PR,40197,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2023,72,Puerto Rico Non-UZA,463143,4,MB,Bus,DO,2,0.00,,0.00,,36.55,,2,,19.48,,0.00,,0,,49702,,2552,,1360,,0,,8026,
City of Bellflower,Bellflower,CA,90254,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2023,51445,"Los Angeles--Long Beach--Anaheim, CA",12237376,4,DR,Demand Response,PT,2,1.11,,0.02,,97.12,,1,,72.78,,0.00,,3393,,223283,,3068,,2299,,0,,14205,
"County of Glenn, dba: Glenn Transit Services",Willows,CA,91088,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2023,,,,4,DR,Demand Response,PT,2,14.00,,0.13,,333.88,,3,,108.50,,0.00,,22310,,172952,,1594,,518,,0,,3143,
"Hibbing, City of, dba: Hibbing Area Transit",Hibbing,MN,50332,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2023,,,,4,MB,Bus,DO,2,1.07,,0.14,,51.86,,7,,7.93,,0.00,,24966,,184776,,23301,,3563,,0,,42040,
"City of Lewiston, dba: Lewiston Transit System",Lewiston,ID,00048,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2023,49312,"Lewiston, ID--WA",54798,4,MB,Bus,DO,2,0.83,,0.05,,89.89,,5,,17.11,,0.00,,31141,,645060,,37704,,7176,,0,,103707,
"City of Avalon, dba: Avalon Transit",Avalon,CA,90249,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2023,6,California Non-UZA,4357850,4,MB,Bus,PT,2,3.79,,0.17,,103.65,,5,,22.78,,0.00,,63717,,382558,,16791,,3691,,0,,27088,
"Henderson County, dba: Apple Country Public Transit",Hendersonville,NC,40229,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2023,3358,"Asheville, NC",285776,4,DR,Demand Response,PT,1,1.48,,0.04,,107.82,,3,,37.04,,0.00,,4291,,107710,,2908,,999,,0,,11267,
"City of Escalon, dba: eTrans",Escalon,CA,91078,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2023,58006,"Modesto, CA",357301,4,MB,Bus,PT,1,0.33,,0.00,,229.42,,1,,221.10,,0.00,,238,,158526,,717,,691,,0,,15565,
"Nez Perce Tribe, dba: Appaloosa Express",Lapwai,ID,00135,Tribe,Reduced Reporter,2023,16,Idaho Non-UZA,836252,4,DR,Demand Response,DO,1,40.83,,0.02,,2331.29,,1,,2719.83,,0.00,,490,,32638,,12,,14,,0,,366,
"City of Arvin, dba: Arvin Transit",Arvin,CA,91027,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2023,,,,4,DR,Demand Response,DO,1,0.65,,0.02,,80.81,,2,,35.30,,0.00,,2944,,160656,,4551,,1988,,0,,12495,
Municipality of Hatillo,Hatillo,PR,40151,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2023,3034,"Arecibo, PR",123724,4,MB,Bus,DO,1,0.00,,0.00,,366.25,,0,,1904.50,,0.00,,0,,19045,,10,,52,,0,,560,
"Squaxin Island Tribe, dba: Squaxin Island Transit",Shelton,WA,00103,Tribe,Reduced Reporter,2023,53,Washington Non-UZA,1895776,4,DR,Demand Response,DO,1,0.00,,0.00,,27.54,,1,,36.71,,0.00,,0,,4626,,126,,168,,0,,3345,
"Southwestern MN Opportunity Council, Inc., dba: Prairieland Transit System",Worthington,MN,50471,Private-Non-Profit Corporation,Rural Reporter,2023,,,,4,MB,Bus,DO,1,1.27,,0.04,,52.53,,2,,34.25,,0.00,,6892,,185748,,5423,,3536,,0,,42557,
"City of Escalon, dba: eTrans",Escalon,CA,91078,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2023,58006,"Modesto, CA",357301,4,DR,Demand Response,TN,1,2.00,,0.23,,28.78,,3,,8.63,,0.00,,60,,259,,30,,9,,0,,281,
Municipality of Gurabo,Gurabo,PR,40123,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2023,79093,"San Juan, PR",1844410,4,DR,Demand Response,DO,1,0.00,,0.00,,29.11,,1,,34.61,,0.00,,0,,50802,,1468,,1745,,0,,10904,
"Crow Tribe of Indians, dba: Crow Nation Transit",Crow Agency,MT,88188,Tribe,Reduced Reporter,2023,30,Montana Non-UZA,688772,4,DR,Demand Response,DO,0,0.00,,0.00,,0.00,,0,,0.00,,0.00,,0,,0,,0,,0,,0,,0,
"Pueblo of Laguna, dba: Pueblo of Laguna - Shaa'srk'a Transit",Laguna,NM,60620,Tribe,Reduced Reporter,2023,35,New Mexico Non-UZA,978126,4,MB,Bus,DO,0,0.00,,0.00,,0.00,,0,,0.00,,0.00,,0,,0,,0,,0,,0,,0,
"Linn County, dba: Linn County Public Transportation",Mound City,KS,70096,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2023,,,,3,DR,Demand Response,DO,3,4.76,,0.07,,47.05,,1,,71.94,,0.00,,7757,,117341,,1631,,2494,,0,,53653,
"Hancock County, dba: Hancock County Public Transportation System",Carthage,IL,50385,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2023,,,,3,DR,Demand Response,DO,3,0.08,,0.00,,38.57,,1,,31.73,,0.00,,634,,242622,,7647,,6291,,0,,90916,
Wilkinson County Commission,Irwinton,GA,40936,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2023,,,,3,DR,Demand Response,DO,3,1.32,,0.03,,65.33,,2,,42.13,,0.00,,6708,,214612,,5094,,3285,,0,,57886,
Carroll County Wellness Transit,Carrollton,KY,44939,Private-Non-Profit Corporation,Rural Reporter,2023,,,,3,DR,Demand Response,DO,3,0.00,,0.00,,50.12,,1,,35.61,,0.00,,0,,145792,,4094,,2909,,0,,65969,
Los Angeles County,Alhambra,CA,90278,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2023,51445,"Los Angeles--Long Beach--Anaheim, CA",12237376,3,MB,Bus,PT,3,0.15,,0.01,,63.92,,4,,16.97,,0.00,,3640,,420240,,24769,,6574,,0,,70091,
City of Mount Vernon,Mount Vernon,MO,70085,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2023,,,,3,DR,Demand Response,DO,3,0.53,,0.07,,30.95,,4,,7.74,,0.00,,7333,,106450,,13745,,3439,,0,,26120,
"East Dakota Transit, Inc.",Madison,SD,80190,Private-Non-Profit Corporation,Rural Reporter,2023,,,,3,DR,Demand Response,DO,3,1.26,,0.11,,64.47,,5,,11.95,,0.00,,23224,,220944,,18484,,3427,,0,,33383,
"Watonwan County, dba: Watonwan Take Me There",Saint James,MN,50448,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2023,,,,3,DR,Demand Response,DO,3,2.19,,0.13,,85.83,,5,,16.66,,0.00,,53293,,406149,,24378,,4732,,0,,100669,
Rosebud Health Care Center,Forsyth,MT,80139,Private-Non-Profit Corporation,Rural Reporter,2023,,,,3,DR,Demand Response,DO,3,1.64,,0.04,,51.19,,1,,40.92,,0.00,,4305,,107492,,2627,,2100,,0,,40726,
Wabaunsee County,Alma,KS,70218,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2023,,,,3,DR,Demand Response,DO,3,2.60,,0.07,,47.57,,1,,35.93,,0.00,,7061,,97670,,2718,,2053,,0,,53550,
"City of South Portland, dba: City of South Portland Bus Service",South Portland,ME,10112,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2023,71263,"Portland, ME",205356,3,MB,Bus,DO,3,0.93,,0.16,,87.81,,15,,5.98,,0.00,,225866,,1454629,,243092,,16566,,0,,213189,
Cape May Lewes Ferry,New Castle,DE,20223,Independent Public Agency or Authority of Transit Service,Full Reporter,2023,3904,"Atlantic City--Ocean City--Villas, NJ",294921,3,FB,Ferryboat,DO,3,7.25,,0.23,,2793.75,,88,,31.77,,1.88,,5404748,,23674255,,745196,,8474,,12593812,,73480,
"City of Davis, dba: Davis Community Transit",Davis,CA,90167,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2023,22420,"Davis, CA",77034,3,DR,Demand Response,DO,3,2.50,,0.04,,199.70,,3,,70.26,,0.00,,32427,,910233,,12956,,4558,,0,,47130,
"Oakland Heights, dba: Oakland Public Transit",Oakland,NE,70124,Private-Non-Profit Corporation,Rural Reporter,2023,,,,3,DR,Demand Response,DO,3,1.78,,0.08,,95.57,,4,,23.80,,0.00,,4672,,62314,,2618,,652,,0,,32148,
Chattooga County,Summerville,GA,41012,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2023,,,,3,DR,Demand Response,DO,3,3.05,,0.15,,32.91,,2,,20.14,,0.00,,28713,,189670,,9416,,5764,,0,,69007,
Goliad County,Goliad,TX,66281,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2023,,,,3,DR,Demand Response,PT,3,1.46,,0.05,,47.93,,2,,30.75,,0.00,,7202,,151854,,4938,,3168,,0,,56537,
City of Lamar,Lamar,MO,70211,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2023,,,,3,DR,Demand Response,DO,3,2.17,,0.28,,59.77,,8,,7.79,,0.00,,37537,,134845,,17315,,2256,,0,,44421,
City of South Pasadena,South Pasadena,CA,90292,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2023,51445,"Los Angeles--Long Beach--Anaheim, CA",12237376,3,DR,Demand Response,DO,3,0.44,,0.01,,153.13,,2,,77.47,,0.00,,3059,,534285,,6897,,3489,,0,,27187,
"Sac and Fox Nation of Missouri, dba: General Public Transportation",Hiawatha,KS,70273,Tribe,Reduced Reporter,2023,20,Kansas Non-UZA,1388420,3,DR,Demand Response,DO,3,6.78,,0.05,,113.35,,1,,131.84,,0.00,,4450,,86488,,656,,763,,0,,23529,
Lemhi Ride,Salmon,ID,00403,Private-Non-Profit Corporation,Rural Reporter,2023,,,,3,DR,Demand Response,DO,3,4.23,,0.13,,209.85,,7,,31.86,,0.00,,43476,,327366,,10274,,1560,,0,,22951,
Seward County Public Transit,Seward,NE,70246,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2023,,,,3,DR,Demand Response,DO,3,1.69,,0.08,,111.57,,6,,20.08,,0.00,,21927,,259950,,12948,,2330,,0,,50212,
"Gila River Indian Community, dba: Gila River Transit",Sacaton,AZ,99436,Tribe,Reduced Reporter,2023,4,Arizona Non-UZA,1296856,3,MB,Bus,DO,3,0.00,,0.00,,197.96,,4,,46.32,,0.00,,0,,548149,,11833,,2769,,0,,51733,
"City of Bisbee, dba: City of Bisbee/ Bisbee Bus",Bisbee,AZ,91121,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2023,,,,3,MB,Bus,PT,3,0.40,,0.04,,66.07,,6,,10.64,,0.00,,9950,,266727,,25077,,4037,,0,,77126,
"East Central Council of Local Governments, dba: Outback Express",Stratton,CO,80162,"MPO, COG or Other Planning Agency",Rural Reporter,2023,,,,3,DR,Demand Response,DO,3,1.22,,0.02,,72.14,,1,,76.48,,0.00,,1539,,96668,,1264,,1340,,0,,22406,
"Town of Chincoteague, dba: Pony Express",Panacea,FL,30147,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2023,,,,3,MB,Bus,DO,3,0.29,,0.02,,77.10,,6,,12.52,,0.00,,1609,,69394,,5543,,900,,0,,9580,
Putnam County Commission,Eatonton,GA,40945,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2023,,,,3,DR,Demand Response,DO,3,1.56,,0.09,,48.43,,3,,18.21,,0.00,,22935,,268222,,14728,,5538,,0,,108604,
Los Angeles County,Alhambra,CA,90279,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2023,51445,"Los Angeles--Long Beach--Anaheim, CA",12237376,3,DR,Demand Response,PT,3,0.50,,0.01,,142.60,,2,,80.61,,0.00,,1626,,261668,,3246,,1835,,0,,17623,
"City of Prairie du Chien, dba: Coulee Cab",Prairie Du Chien,WI,50482,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2023,,,,3,DR,Demand Response,PT,3,2.88,,0.28,,32.77,,3,,10.15,,0.00,,105736,,373009,,36762,,11384,,0,,141781,
Wildrose Public Transportation,Crosby,ND,88222,Private-Non-Profit Corporation,Rural Reporter,2023,,,,3,DR,Demand Response,DO,3,2.87,,0.08,,74.04,,2,,37.44,,0.00,,13683,,178299,,4762,,2408,,0,,52979,
"Pueblo of Santa Ana, dba: Santa Ana Transportation",Bernalillo,NM,66152,Tribe,Reduced Reporter,2023,35,New Mexico Non-UZA,978126,3,MB,Bus,DO,3,0.00,,0.00,,56.91,,2,,36.70,,0.00,,0,,205453,,5598,,3610,,0,,42974,
Crawford County,Roberta,GA,41176,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2023,,,,3,DR,Demand Response,DO,3,2.28,,0.05,,50.17,,1,,46.66,,0.00,,7254,,148138,,3175,,2953,,0,,51875,
"City of Portales, dba: PORTALES AREA TRANSIT",Portales,NM,60253,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2023,,,,3,DR,Demand Response,DO,3,0.52,,0.03,,38.38,,2,,17.45,,0.00,,6203,,206235,,11816,,5373,,0,,46814,
"Blue Valley Community Action Partnership, dba: Fillmore County Transit",Geneva,NE,70205,Private-Non-Profit Corporation,Rural Reporter,2023,,,,3,DR,Demand Response,DO,3,1.16,,0.05,,63.89,,3,,23.73,,0.00,,6358,,130139,,5484,,2037,,0,,30515,
"Towns County, dba: Towns County Transit",Hiawassee,GA,41033,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2023,,,,3,DR,Demand Response,DO,3,2.77,,0.09,,40.40,,1,,30.40,,0.00,,10820,,118728,,3906,,2939,,0,,43276,
"Daniels Memorial Healthcare Foundation, dba: Daniels County Transportation",Scobey,MT,80205,Private-Non-Profit Corporation,Rural Reporter,2023,,,,3,DR,Demand Response,DO,3,2.71,,0.11,,48.98,,2,,24.54,,0.00,,6682,,60593,,2469,,1237,,0,,18053,
Baldwin County,Milledgeville,GA,40931,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2023,,,,3,DR,Demand Response,DO,3,2.19,,0.09,,49.35,,2,,23.24,,0.00,,20058,,212826,,9159,,4313,,0,,67634,
"Village of Prairie du Sac, dba: Sauk Prairie Taxi",Prairie Du Sac,WI,50291,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2023,,,,3,DR,Demand Response,TX,3,4.10,,0.27,,30.93,,2,,15.36,,0.00,,44749,,167725,,10917,,5423,,0,,43953,
"Town of Payson, dba: Beeline Bus Public Transportation",Payson,AZ,99474,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2023,,,,3,MB,Bus,DO,3,0.94,,0.01,,69.06,,1,,80.88,,0.00,,2292,,196621,,2431,,2847,,0,,32806,
"Lakemary Center, Inc",Paola,KS,70178,Private-Non-Profit Corporation,Rural Reporter,2023,,,,3,DR,Demand Response,DO,3,1.68,,0.05,,87.32,,3,,32.11,,0.00,,3751,,71691,,2233,,821,,0,,32274,
Habersham County,Clarkesville,GA,40994,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2023,,,,3,DR,Demand Response,DO,3,1.33,,0.05,,43.36,,2,,26.07,,0.00,,7911,,155221,,5955,,3580,,0,,36659,
"City of Medford, dba: Medford Shared-Ride Taxi",Medford,WI,50491,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2023,,,,3,DR,Demand Response,PT,3,3.82,,0.13,,36.16,,1,,28.37,,0.00,,26117,,194112,,6842,,5368,,0,,25543,
"Liberty County , dba: Liberty County Transit",Chester,MT,80134,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2023,,,,3,DR,Demand Response,DO,3,0.00,,0.00,,49.32,,2,,25.71,,0.00,,0,,184225,,7165,,3735,,0,,28338,
"Kidder-Emmons County Senior Services , dba: Kidder County Transit",Steele,ND,80228,Private-Non-Profit Corporation,Rural Reporter,2023,,,,3,DR,Demand Response,DO,3,1.03,,0.04,,68.70,,2,,28.65,,0.00,,4260,,117962,,4117,,1717,,0,,47065,
"Callaway District Hospital, dba: Callaway District Hospital Public Transportation",Callaway,NE,77087,Other Publicly-Owned or Privately Chartered Corporation,Rural Reporter,2023,,,,3,DR,Demand Response,DO,3,21.95,,0.30,,204.57,,3,,72.14,,0.00,,41712,,137059,,1900,,670,,0,,29061,
Lancaster Co Rural Transit,Lincoln,NE,70164,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2023,,,,3,DR,Demand Response,DO,3,1.75,,0.02,,59.98,,1,,84.89,,0.00,,2298,,111627,,1315,,1861,,0,,29119,
"Town of Quartzsite, dba: Camel Express",Quartzsite,AZ,99437,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2023,,,,3,DR,Demand Response,DO,3,1.41,,0.03,,95.71,,2,,46.54,,0.00,,7415,,244064,,5244,,2550,,0,,33001,
Macon County,Oglethorpe,GA,40903,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2023,,,,3,DR,Demand Response,PT,3,2.16,,0.03,,71.68,,1,,79.25,,0.00,,4936,,180851,,2282,,2523,,0,,51856,
"City of Taft, dba: Taft Area Transit",Taft,CA,91066,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2023,,,,3,DR,Demand Response,DO,3,1.98,,0.13,,68.12,,4,,15.14,,0.00,,51113,,391432,,25855,,5746,,0,,55872,
Bleckley County,Cochran,GA,41196,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2023,,,,3,DR,Demand Response,PT,3,1.64,,0.04,,70.48,,2,,45.85,,0.00,,5624,,157532,,3436,,2235,,0,,51317,
West Feliciana Parish Council,Saint Francisville,LA,66337,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2023,,,,3,DR,Demand Response,DO,3,1.75,,0.09,,31.20,,2,,20.58,,0.00,,17598,,206662,,10042,,6624,,0,,136526,
River Parishes Transit Authority,La Place,LA,60112,Independent Public Agency or Authority of Transit Service,Reduced Reporter,2023,62677,"New Orleans, LA",963212,3,DR,Demand Response,PT,3,1.90,,0.03,,92.09,,1,,65.87,,0.00,,35704,,1238378,,18799,,13448,,0,,193599,
"City of Socorro, dba: City of Socorro Transportation",Socorro,NM,60157,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2023,,,,3,DR,Demand Response,DO,3,0.75,,0.03,,66.50,,2,,28.23,,0.00,,6831,,258287,,9150,,3884,,0,,72198,
"City of Manhattan Beach , dba: City of Manhattan Beach Dial-A-Ride",Manhattan Beach,CA,90283,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2023,51445,"Los Angeles--Long Beach--Anaheim, CA",12237376,3,DR,Demand Response,DO,3,0.25,,0.00,,226.19,,3,,78.12,,0.00,,2354,,729922,,9343,,3227,,0,,23747,
"Spirit Lake Tribe, dba: Spirit Lake Tribal Transit",Fort Totten,ND,88128,Tribe,Reduced Reporter,2023,38,North Dakota Non-UZA,403127,3,DR,Demand Response,DO,3,0.59,,0.02,,45.98,,1,,37.44,,0.00,,5779,,367093,,9804,,7984,,0,,170723,
"City of Milwaukee, dba: Milwaukee Streetcar System - The Hop Streetcar MKE",Milwaukee,WI,55312,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2023,57466,"Milwaukee, WI",1306795,3,SR,Streetcar Rail,PT,3,0.00,Q,0.00,,382.99,,29,Q,13.09,Q,11.76,Q,0,,6470242,,494445,Q,16894,,550225,Q,93352,
Peach County,Fort Valley,GA,40910,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2023,,,,3,DR,Demand Response,PT,3,0.82,,0.04,,51.05,,2,,22.93,,0.00,,4685,,130372,,5686,,2554,,0,,39305,
"Town of Montgomery, dba: Montgomery and Crawford Dial-A-Ride Transportation",Montgomery,NY,20973,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2023,,,,3,MB,Bus,DO,3,1.00,,0.02,,68.00,,2,,41.57,,0.00,,9488,,396209,,9530,,5827,,0,,66379,
"Southeast Missouri State University, dba: Southeast Transit Service",Cape Girardeau,MO,70050,University,Reduced Reporter,2023,13537,"Cape Girardeau, MO--IL",55546,3,MB,Bus,DO,3,0.00,,0.00,,42.75,,21,,2.09,,0.00,,0,,246729,,118315,,5771,,0,,84708,
"Lincoln County , dba: Leisure Services",Lincolnton,GA,40961,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2023,,,,3,DR,Demand Response,DO,3,0.67,,0.04,,34.58,,2,,19.09,,0.00,,3222,,92154,,4827,,2665,,0,,37883,
Sitka Tribe of Alaska,Sitka,AK,00014,Tribe,Reduced Reporter,2023,2,Alaska Non-UZA,359299,3,MB,Bus,DO,3,0.94,,0.05,,163.49,,8,,20.83,,0.00,,53247,,1181081,,56698,,7224,,0,,102199,
"York County, dba: Yorktown Trolley",Yorktown,VA,30203,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2023,90892,"Virginia Beach--Norfolk, VA",1451578,3,MB,Bus,DO,3,0.00,,0.00,,61.82,,24,,2.55,,0.00,,0,,166102,,65178,,2687,,0,,22311,
"Village of Plover, dba: Plover Taxi Service",Plover,WI,50277,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2023,,,,3,DR,Demand Response,PT,3,2.97,,0.34,,26.90,,3,,8.68,,0.00,,89596,,261616,,30139,,9725,,0,,166141,
"Town of Lexington, dba: Lexpress",Lexington,MA,10181,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2023,9271,"Boston, MA--NH",4382009,3,MB,Bus,PT,3,0.51,,0.02,,80.52,,3,,28.58,,0.00,,12879,,719466,,25178,,8935,,0,,129236,
City of Hillsdale,Hillsdale,MI,50268,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2023,,,,3,DR,Demand Response,DO,3,1.63,,0.13,,69.42,,5,,12.79,,0.00,,43795,,344203,,26918,,4958,,0,,53621,
"City of Louisburg, dba: Louisburg Area Senior Citizens Center",Louisburg,KS,70184,Private-Non-Profit Corporation,Rural Reporter,2023,,,,3,DR,Demand Response,DO,3,3.50,,0.23,,61.26,,4,,15.16,,0.00,,18162,,78603,,5185,,1283,,0,,50247,
"City of Black Hawk, dba: The Black Hawk & Central City Tramway",Black Hawk,CO,80119,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2023,,,,3,MB,Bus,PT,3,0.00,,0.00,,81.15,,17,,4.86,,0.00,,0,,728093,,149920,,8972,,0,,64498,
"Community Senior Service Center, dba: Community Senior Service Center Transportation",Osawatomie,KS,70245,Private-Non-Profit Corporation,Rural Reporter,2023,,,,3,DR,Demand Response,DO,3,1.43,,0.14,,48.18,,5,,10.07,,0.00,,12502,,88072,,8743,,1828,,0,,28621,
"Town of Bluefield, dba: Graham Transit",Bluefield,VA,30164,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2023,,,,3,MB,Bus,DO,3,0.25,,0.02,,54.03,,4,,14.16,,0.00,,7793,,441397,,31171,,8170,,0,,132943,
"South Central Kansas Area Agency on Aging, dba: Harper County Public Transportation Services",Anthony,KS,70228,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2023,,,,3,DR,Demand Response,DO,3,2.74,,0.13,,51.18,,2,,21.61,,0.00,,22788,,179696,,8315,,3511,,0,,63244,
"City of Neligh , dba: City of Neligh Dial-A-Ride",Neligh,NE,70125,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2023,,,,3,DR,Demand Response,DO,3,1.30,,0.12,,12.90,,1,,11.26,,0.00,,10178,,88154,,7828,,6834,,0,,21833,
"City Of Sidney , dba: City of Sidney Public Transportation",Sidney,NE,70074,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2023,,,,3,DR,Demand Response,DO,3,1.25,,0.07,,61.53,,3,,18.15,,0.00,,20576,,297941,,16415,,4842,,0,,54171,
"Town of Newburgh, dba: TON Dial -A- Bus",Newburgh,NY,20143,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2023,71803,"Poughkeepsie--Newburgh, NY",314766,3,DR,Demand Response,DO,3,0.49,,0.03,,42.12,,3,,15.13,,0.00,,2424,,74258,,4908,,1763,,0,,17857,
"Powell Senior Citizens A-Go Go, Inc., dba: Powell Senior Center",Powell,WY,88219,Private-Non-Profit Corporation,Rural Reporter,2023,,,,3,DR,Demand Response,DO,3,1.68,,0.07,,77.11,,3,,23.72,,0.00,,9304,,131635,,5550,,1707,,0,,16220,
"Walker County Commission, dba: Walker County Transportation System",Jasper,AL,41173,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2023,,,,3,DR,Demand Response,DO,3,4.43,,0.16,,91.72,,3,,27.79,,0.00,,27078,,169675,,6106,,1850,,0,,35021,
"City of River Falls, dba: River Falls Taxi Service",River Falls,WI,50303,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2023,,,,3,DR,Demand Response,PT,3,2.84,,0.18,,35.58,,2,,15.45,,0.00,,49308,,268524,,17385,,7546,,0,,77953,
"Catholic Community Service, Sitka, dba: Catholic Community Service",Juneau,AK,00354,Private-Non-Profit Corporation,Rural Reporter,2023,,,,3,DR,Demand Response,DO,3,0.75,,0.01,,98.74,,1,,67.15,,0.00,,2507,,223339,,3326,,2262,,0,,9352,
City of Wasco,Wasco,CA,99426,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2023,,,,3,DR,Demand Response,DO,3,0.65,,0.01,,179.44,,4,,47.43,,0.00,,7350,,532930,,11236,,2970,,0,,26463,
"Madison County Council of Governments, dba: Transportation for Rural Areas of Madison County",Anderson,IN,50272,"MPO, COG or Other Planning Agency",Rural Reporter,2023,,,,3,DR,Demand Response,DO,3,0.54,,0.02,,108.04,,3,,32.17,,0.00,,7724,,464160,,14427,,4296,,0,,106920,
